17, 20, 10,
13, 19, 2,
5, 8, 13,
1, 19, 16,
18, 20, 16,
10, 1, 17,
6, 5, 14,
12, 14, 5,
5, 16, 8,
10, 2, 19,
20, 20, 3,
6, 18, 10,
10, 13, 11,
6, 9, 20,
19, 2, 15,
3, 20, 2,
16, 4, 17,
18, 8, 18,
11, 2, 17,
19, 14, 8,
6, 6, 20,
16, 9, 20,
15, 3, 2,
9, 11, 2,
18, 7, 11,
18, 7, 7,
17, 2, 1,
15, 19, 16,
6, 1, 3,
15, 3, 12,
12, 20, 5,
8, 8, 2,
2, 17, 3,
16, 4, 11,
13, 14, 3,
8, 15, 8,
12, 3, 11,
17, 6, 3,
9, 5, 7,
15, 20, 15,
18, 2, 9,
1, 5, 10,
5, 2, 8,
2, 7, 6,
19, 20, 9,
14, 12, 1,
18, 11, 11,
19, 9, 18,
3, 12, 13,
8, 18, 7,
16, 5, 17,
10, 18, 4,
8, 13, 19,
17, 16, 20,
7, 3, 2,
20, 14, 2,
16, 20, 5,
8, 6, 2,
10, 6, 17,
7, 16, 15,
11, 1, 18,
11, 19, 11,
11, 1, 3,
9, 6, 2,
8, 15, 13,
2, 20, 14,
14, 10, 4,
2, 14, 3,
1, 12, 12,
18, 9, 5,
12, 14, 20,
9, 17, 17,
6, 4, 18,
10, 2, 2,
5, 5, 20,
3, 12, 20,
6, 12, 9,
7, 18, 18,
11, 4, 3,
14, 5, 13,
20, 18, 17,
17, 2, 12,
12, 12, 18,
2, 13, 7,
19, 9, 2,
2, 4, 11,
20, 19, 4,
5, 12, 19,
3, 2, 3,
13, 5, 13,
3, 4, 3,
6, 11, 11,
20, 9, 14,
3, 9, 18,
4, 10, 19,
2, 16, 3,
14, 9, 17,
8, 4, 10,
14, 13, 10,
14, 5, 10,
11, 12, 15,
11, 13, 2,
17, 7, 16,
15, 5, 17,
12, 14, 3,
2, 12, 14,
8, 20, 5,
16, 2, 13,
2, 4, 5,
7, 19, 20,
13, 2, 20,
5, 1, 12,
12, 6, 13,
11, 13, 10,
5, 2, 13,
6, 5, 8,
1, 16, 12,
18, 10, 8,
1, 10, 10,
3, 15, 19,
18, 15, 7,
4, 15, 10,
5, 19, 6,
19, 1, 14,
7, 10, 7,
15, 13, 13,
1, 18, 2,
1, 14, 7,
17, 3, 5,
17, 14, 2,
5, 2, 6,
18, 15, 3,
14, 11, 1,
14, 5, 4,
16, 18, 7,
6, 20, 3,
14, 9, 14,
19, 5, 15,
12, 5, 7,
6, 19, 3,
20, 4, 10,
2, 15, 13,
5, 9, 18,
18, 5, 4,
20, 15, 11,
14, 6, 8,
17, 8, 17,
19, 20, 17,
1, 15, 3,
8, 18, 8,
12, 20, 19,
16, 15, 19,
12, 5, 11,
9, 7, 12,
4, 11, 2,
7, 17, 1,
11, 10, 19,
15, 1, 10,
7, 3, 17,
6, 2, 6,
14, 4, 18,
9, 6, 19,
2, 9, 8,
20, 3, 1,
14, 9, 16,
13, 3, 13,
10, 8, 8,
19, 5, 12,
8, 18, 14,
16, 16, 4,
15, 19, 2,
19, 19, 7,
20, 12, 13,
16, 15, 17,
16, 19, 9,
1, 1, 13,
